Species,Scientific Name,Habitat,Protect on USFS,Taxon,Row type,Impact Buffer,Species Specific Guidance,Pre- activity survey,Review Language (DNO),RPM (DNO),Class Type,Review Language (1),RPM (1),RPM Translation (1),Review Language (2),RPM (2),RPM Translation (2),Review Language (3),RPM (3),RPM Translation (3),Review Language (4),RPM (4),RPM Translation (4)
little mousetail,Myosurus minimus ssp. apus,"wet fields, vernal pools, streambanks, lake shores",Yes,Plant,Formula,Work area,"Only discussed in INF, if reviewing INF apply same RPM's and language as other CRPR 1/2 plant receive. ",Pre-activity Survey Required,"little mousetail (INF:SCC; CRPR 3.1, Blooming Period: Mar - Jun; Habitat description: wet fields, vernal pools, streambanks, lake shores) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"little mousetail (INF:SCC; CRPR 3.1, Blooming Period: Mar - Jun; Habitat description: wet fields, vernal pools, streambanks, lake shores) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (little mousetail): A biological survey is required. 

FSS Plant Avoidance (little mousetail): If little mousetail is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
little purple monkeyflower,Erythranthe purpurea,along small streams on gentle slopes,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"little purple monkeyflower (FSS; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: along small streams on gentle slopes) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"little purple monkeyflower (FSS; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: along small streams on gentle slopes) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (little purple monkeyflower): A biological survey is required. 

FSS Plant Avoidance (little purple monkeyflower): If little purple monkeyflower is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
little ricegrass,Stipa exigua,rocky slopes in sagebrush scrub,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Little San Bernardino Mtns. linanthus,linanthus maculatus ssp. maculatus,"sandy washes, flats",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Little Sur manzanita,Arctostaphylos edmundsii,"sandy terraces, bluffs, chaparral maritime chaparral",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Little Sur manzanita (FSS; CRPR 1B.2, Blooming Period: Nov - Dec; Habitat description: sandy terraces, bluffs, chaparral maritime chaparral) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Little Sur manzanita (FSS; CRPR 1B.2, Blooming Period: Nov - Dec; Habitat description: sandy terraces, bluffs, chaparral maritime chaparral) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Little Sur manzanita): A biological survey is required. 

FSS Plant Avoidance (Little Sur manzanita): If Little Sur manzanita is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
little willow flycatcher,Empidonax traillii brewsteri,"riparian shrubs, dense trees, thickets, and tall shrubs near wet meadows, ponds, or backwaters",Yes,Bird,Formula,Work area,--,Pre-activity Survey Required,"little willow flycatcher (SE; Habitat description: riparian shrubs, dense trees, thickets, and tall shrubs near wet meadows, ponds, or backwaters) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"little willow flycatcher (SE; Habitat description: riparian shrubs, dense trees, thickets, and tall shrubs near wet meadows, ponds, or backwaters) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM SWFL-1-3, 4(b-c); 
General Measures and Standard OMP BMPs. ","Schedule Limitation (SWFL): Schedule all work between September 1 and February 28; if the project cannot comply with these dates, contact SCE ED. 

Biological Monitor (SWFL): A biological monitor is required to survey the workspace and be present as needed. In addition, tailboard with the biological monitor is required prior to ground or vegetation disturbing activities. Any flagging used must be removed after work is completed. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Livermore tarplant,Deinandra bacigalupii,"alkaline meadows, edges of alkali barrens or sinks, grasslands, mounds and gullies in grazed fields",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Livermore tarplant (SE; CRPR 1B.1, Blooming Period: Jun - Oct; Habitat description: alkaline meadows, edges of alkali barrens or sinks, grasslands, mounds and gullies in grazed fields) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Livermore tarplant (SE; CRPR 1B.1, Blooming Period: Jun - Oct; Habitat description: alkaline meadows, edges of alkali barrens or sinks, grasslands, mounds and gullies in grazed fields) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Livermore tarplant): A biological survey is required. 

State Threatened Plant Avoidance (Livermore tarplant): If Livermore tarplantis observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure this State Threatened Plant is fully avoided. Contact SCE BAR if full avoidance cannot be achieved.

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
livid sedge,Carex livida,"swamps, peatlands sphagnum swamps, peatlands",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
lobed ground cherry,Physalis lobata,"granitic soils, dry lake margins",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Loch Lomond button celery,Eryngium constancei,vernal pools,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Loch Lomond button celery (FE; SE; CRPR 1B.1, Blooming Period: Apr - Jun; Habitat description: vernal pools) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"Loch Lomond button celery (FE; SE; CRPR 1B.1, Blooming Period: Apr - Jun; Habitat description: vernal pools) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (Loch Lomond button celery): A qualified botanist will conduct a rare plant survey for Loch Lomond button celery within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (Loch Lomond button celery): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Loggerhead Shrike,Lanius ludovicianus,"grasslands, semi-open scrub or low trees, large clearings in woodland/forest",No,Bird,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Loma Prieta hoita,Hoita strobilina,"chaparral, oak woodland",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Lompoc yerba santa,Eriodictyon capitatum,"ravines, mesas, chaparral, pine woodland bishop-pine woodland",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Lompoc yerba santa (FE; SR; CRPR 1B.2, Blooming Period: May - Aug; Habitat description: ravines, mesas, chaparral, pine woodland bishop-pine woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"Lompoc yerba santa (FE; SR; CRPR 1B.2, Blooming Period: May - Aug; Habitat description: ravines, mesas, chaparral, pine woodland bishop-pine woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (Lompoc yerba santa): A qualified botanist will conduct a rare plant survey for Lompoc yerba santa within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (Lompoc yerba santa): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
long bluebells,Mertensia longiflora,"open, plains, sagebrush, foothills, pine forest generally spring moist, plains, foothills, sagebrush or sparse ponderosa pine forest",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
long haired star tulip,Calochortus longebarbatus var longebarbatus,"meadows vernal meadows, heavy clay soil",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"long haired star tulip (FSS; CRPR 1B.2, Blooming Period: Jun - Aug; Habitat description: meadows vernal meadows, heavy clay soil) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"long haired star tulip (FSS; CRPR 1B.2, Blooming Period: Jun - Aug; Habitat description: meadows vernal meadows, heavy clay soil) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (long haired star tulip): A biological survey is required. 

FSS Plant Avoidance (long haired star tulip): If long haired star tulip is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
long leaved starwort,Stellaria longifolia,moist areas,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
long petaled lewisia,Lewisia longipetala,"boulder, rock fields, crevices, forest scree fed by snow melt, subalpine forest",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"long petaled lewisia (FSS; CRPR 1B.3, Blooming Period: Jul - Aug; Habitat description: boulder, rock fields, crevices, forest scree fed by snow melt, subalpine forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"long petaled lewisia (FSS; CRPR 1B.3, Blooming Period: Jul - Aug; Habitat description: boulder, rock fields, crevices, forest scree fed by snow melt, subalpine forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (long petaled lewisia): A biological survey is required. 

FSS Plant Avoidance (long petaled lewisia): If long petaled lewisia is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
long seta hump moss,Meesia longiseta,"bogs, fens, meadows, seeps, conifer forest",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
long spined spineflower,Chorizanthe polygonoides var. longispina,"sandy and clay soils in chaparral, coastal chaparral scrub, dunes, vernal pools, and valley and foothill grassland",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
long stem evening-primrose,Oenothera longissima,scrub and pine woodland seasonally moist places in creosote-brush scrub and pinyon/juniper woodland,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
long stiped campion,Silene occidentalis ssp. longistipitata,"chaparral, conifer forest",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"long stiped campion (FSS; CRPR 1B.2, Blooming Period: Jun - Aug; Habitat description: chaparral, conifer forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"long stiped campion (FSS; CRPR 1B.2, Blooming Period: Jun - Aug; Habitat description: chaparral, conifer forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (long stiped campion): A biological survey is required. 

FSS Plant Avoidance (long stiped campion): If long stiped campion is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
